CNT,MXN,GNP,PVA,1D,2D,2D1D,2D2D,Pre-stretch,thickness,R0,eps10
0.2,0.61,0.15,0.04,1,0,0,0,0,1200,179.4,0.67066296
0.8,0.05,0.05,0.1,0,0,0,1,100,1200,110.4,2.064117647
0.4,0.46,0.1,0.04,0,0,0,1,300,1200,74.7,3.302038462
0.4,0.56,0.0,0.04,0,0,1,0,100,800,110.5,2.223482143
0.15,0.67,0.15,0.03,0,0,1,0,100,1200,50.2,2.2858
0.5,0.235,0.25,0.015,0,1,0,0,0,1600,49.6,0.4711875
0.0,1.0,0.0,0.0,0,1,0,0,0,1600,7.8,0.332272727
0.93,0.0,0.05,0.02,0,0,0,1,200,1200,65.2,3.930666667
0.7,0.25,0.02,0.03,0,1,0,0,0,1600,34.0,0.395
0.8,0.2,0.0,0.0,0,0,0,1,200,1200,49.6,3.634785714
0.5053,0.4947,0.0,0.0,0,0,0,1,100,1200,32.1,2.012333333
0.41,0.126723102,0.413276898,0.05,0,0,1,0,200,1200,133.7,4.600669492
0.783038092,0.12324179,0.065063585,0.028656533,0,0,1,0,300,1200,117.4,6.015543307
0.456437266,0.17028333,0.318853195,0.054426209,1,0,0,0,0,800,154.3,0.925
